pro_com,comune,zona,data_inizio,data_fine,id_ordinanza,nro_ordinanza,data_ordinanza,PDF,nro_pgg,link_ordinanza,note
85009,Mazzarino,rossa,2021-04-03,2021-04-14,30-01042021,30,2021-04-01,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-30-01042021.pdf,
84024,Montallegro,rossa,2021-04-04,2021-04-14,31-02042021,31,2021-04-02,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-31-02042021.pdf,
86015,Pietraperzia,rossa,2021-04-04,2021-04-14,31-02042021,31,2021-04-02,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-31-02042021.pdf,
85019,Sommatino,rossa,2021-04-04,2021-04-14,31-02042021,31,2021-04-02,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-31-02042021.pdf,
89004,Buscemi,rossa,2021-04-04,2021-04-08,32-03042021,32,2021-04-03,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-32-03042021.pdf,
83053,Moio Alcantara,rossa,2021-04-04,2021-04-14,32-03042021,32,2021-04-03,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-32-03042021.pdf,
89016,Rosolini,rossa,2021-04-04,2021-04-14,32-03042021,32,2021-04-03,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-32-03042021.pdf,
89018,Solarino,rossa,2021-04-04,2021-04-14,32-03042021,32,2021-04-03,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-32-03042021.pdf,
85004,Caltanissetta,rossa,2021-04-06,2021-04-14,33-06042021,33,2021-04-06,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re295.pdf,
82015,Caltavuturo,rossa,2021-04-06,2021-04-14,33-06042021,33,2021-04-06,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re295.pdf,
84027,Palma di Montechiaro,rossa,2021-04-06,2021-04-14,33-06042021,33,2021-04-06,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re295.pdf,
88011,Scicli,rossa,2021-04-06,2021-04-14,33-06042021,33,2021-04-06,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re295.pdf,
82053,Palermo,rossa,2021-04-06,2021-04-14,34-06042021,34,2021-04-06,Immagine,6,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/re294.pdf,
85001,Acquaviva Platani,rossa,2021-04-08,2021-04-22,35-06042021,35,2021-04-06,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,
84002,Alessandria della Rocca,rossa,2021-04-08,2021-04-22,35-06042021,35,2021-04-06,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,
83005,Barcellona Pozzo di Gotto,rossa,2021-04-08,2021-04-22,35-06042021,35,2021-04-06,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,
86005,Calascibetta,rossa,2021-04-08,2021-04-22,35-06042021,35,2021-04-06,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,
84014,Cattolica Eraclea,rossa,2021-04-08,2021-04-22,35-06042021,35,2021-04-06,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,
88001,Acate,rossa,2021-04-06,2021-04-14,35-06042021,35,2021-04-06,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,
86007,Centuripe,rossa,2021-04-06,2021-04-14,35-06042021,35,2021-04-06,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,
86016,Regalbuto,rossa,2021-04-06,2021-04-14,35-06042021,35,2021-04-06,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2035%20del%2006-04-2021(firmato).pdf,
82040,Godrano,rossa,2021-04-09,2021-04-22,36-07042021,36,2021-04-07,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2036%20del%2007-04-2021.pdf,
88010,Santa Croce Camerina,rossa,2021-04-09,2021-04-22,36-07042021,36,2021-04-07,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2036%20del%2007-04-2021.pdf,
84033,Ribera,rossa,2021-04-09,2021-04-22,36-07042021,36,2021-04-07,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2036%20del%2007-04-2021.pdf,
81011,Marsala,rossa,2021-04-11,2021-04-22,37-09042021,37,2021-04-09,Immagine,7,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2037%20del%209%20aprile%202021.pdf,
85016,San Cataldo,rossa,2021-04-11,2021-04-22,37-09042021,37,2021-04-09,Immagine,7,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2037%20del%209%20aprile%202021.pdf,
89021,Priolo Gargallo,rossa,2021-04-02,2021-04-08,37-09042021,37,2021-04-09,Immagine,7,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2037%20del%209%20aprile%202021.pdf,
89004,Buscemi,rossa,2021-04-04,2021-04-08,37-09042021,37,2021-04-09,Immagine,7,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2037%20del%209%20aprile%202021.pdf,
82043,Isola delle Femmine,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82042,Isnello,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,https://pti.regione.sicilia.it/portal/pls/portal/docs/152934474.PDF,
82029,Chiusa Sclafani,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82044,Lascari,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82027,Cefalù,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82041,Gratteri,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82025,Castronovo di Sicilia,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82011,Bolognetta,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82021,Carini,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82033,Contessa Entellina,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82005,Altofonte,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82002,Alimena,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82065,San Mauro Castelverde,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
82066,Santa Cristina Gela,rossa,2021-04-11,2021-04-22,38-09042021,38,2021-04-09,Immagine,6,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,
