comune,pro_com,provincia,dataInizio,dataFine,link_ordinanza,nro_data_ordinanza,proroga/cessa,PDF,nro_pgg,sovrapposizione,cessa,nro_ordinanza,data_ordinanza,area_kmq,pop_2020,note,zona
Giardinello,82038,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,12.88,2306,,
Lampedusa e Linosa,84020,Agrigento,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,25.22,6494,,
Mezzojuso,82047,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,49.25,2797,,
Mineo,87027,Catania,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,245.27,5251,,
San Cipirello,82063,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,20.85,5212,,
Santa Cristina Gela,82066,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,38.74,997,,
Termini Imerese,82070,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,76.69,25889,,
Maniace,87057,Catania,2021-05-10,2021-05-19,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-53-08052021.pdf,53-08052021,No,Testo,5,,,53,2021-05-08,37.7,3762,,
Riesi,85015,Caltanissetta,2021-05-10,2021-05-19,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-53-08052021.pdf,53-08052021,No,Testo,5,,,53,2021-05-08,67,11110,,
Vicari,82078,Palermo,2021-05-11,2021-05-19,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2054%20del%2010%20maggio%202021.pdf,54-10052021,No,Immagine,6,,,54,2021-05-10,85.95,2559,,
Santa Caterina Villarmosa,85017,Caltanissetta,2021-05-10,2021-05-09,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2054%20del%2010%20maggio%202021.pdf,54-10052021,Sì,Immagine,6,,,54,2021-05-10,75.81,5039,,
Gagliano Castelferrato,86010,Enna,2021-05-14,2021-05-26,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,No,Testo,7,,,55,2021-05-12,56.24,3460,,
San Biagio Platani,84035,Agrigento,2021-05-14,2021-05-26,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,No,Testo,7,,,55,2021-05-12,42.67,3088,,
Gela,85007,Caltanissetta,2021-05-13,2021-05-13,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,Sì,Testo,7,56-13052021,,55,2021-05-12,279.22,74075,,
Mineo,87027,Catania,2021-05-13,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,Sì,Testo,7,,,55,2021-05-12,245.27,5251,,
Nizza di Sicilia,83061,Messina,2021-05-13,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,Sì,Testo,7,,,55,2021-05-12,13.42,3628,,
Ravanusa,84031,Agrigento,2021-05-13,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,Sì,Testo,7,,,55,2021-05-12,49.5,11108,,
San Cipirello,82063,Palermo,2021-05-13,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,Sì,Testo,7,,,55,2021-05-12,20.85,5212,,
Santa Cristina Gela,82066,Palermo,2021-05-13,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,Sì,Testo,7,,,55,2021-05-12,38.74,997,,
Tortorici,83099,Messina,2021-05-13,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,Sì,Testo,7,,,55,2021-05-12,70.5,6045,,
Caltavuturo,82015,Palermo,2021-05-14,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,No,Testo,7,,,55,2021-05-12,97.95,3768,,
Polizzi Generosa,82058,Palermo,2021-05-14,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-55-120521.pdf,55-12052021,No,Testo,7,,,55,2021-05-12,134.66,3112,,
Gela,85007,Caltanissetta,2021-05-13,2021-05-13,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2056%20del%2013%20maggio%202021(firmato).pdf,56-13052021,Sì,Testo,6,56-13052021,,56,2021-05-13,279.22,74075,,
Portopalo di Capo Passero,89020,Siracusa,2021-05-16,2021-05-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2057%20del%2014%20maggio%202021.pdf,57-14052021,No,Testo,6,58-18052021,,57,2021-05-14,15.09,3867,,
Santa Teresa di Riva,83089,Messina,2021-05-16,2021-05-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2057%20del%2014%20maggio%202021.pdf,57-14052021,No,Testo,6,61-25052021,,57,2021-05-14,8.12,9421,,
Portopalo di Capo Passero,89020,Siracusa,2021-05-16,2021-05-18,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2058%20del%2018%20maggio%202021.pdf,58-18052021,Sì,Immagine,6,58-18052021,,58,2021-05-18,15.09,3867,,
Maniace,87057,Catania,2021-05-19,2021-05-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2058%20del%2018%20maggio%202021.pdf,58-18052021,Sì,Immagine,6,61-25052021,,58,2021-05-18,37.7,3762,,
San Cipirello,82063,Palermo,2021-05-19,2021-05-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2058%20del%2018%20maggio%202021.pdf,58-18052021,Sì,Immagine,6,,,58,2021-05-18,20.85,5212,,
Vicari,82078,Palermo,2021-05-19,2021-05-26,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2058%20del%2018%20maggio%202021.pdf,58-18052021,Sì,Immagine,6,,,58,2021-05-18,85.95,2559,,
Maletto,87022,Catania,2021-05-22,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2059%20del%2020%20maggio%202021.pdf,59-20052021,No,Immagine,6,,,59,2021-05-20,40.96,3697,,
Riesi,85015,Caltanissetta,2021-05-27,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2061%20del%2025-05-2021(firmato).pdf,61-25052021,No,Testo,6,65-31052021,,61,2021-05-25,67,11110,,
Santa Teresa di Riva,83089,Messina,2021-05-25,2021-05-25,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2061%20del%2025-05-2021(firmato).pdf,61-25052021,Sì,Testo,6,61-25052021,,61,2021-05-25,8.12,9421,,
Maniace,87057,Catania,2021-05-25,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2061%20del%2025-05-2021(firmato).pdf,61-25052021,Sì,Testo,6,,,61,2021-05-25,37.7,3762,,
Scordia,87049,Catania,2021-05-28,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-62-26052021.pdf,62-26052021,No,Testo,6,66-01062021,,62,2021-05-26,24.31,16701,,
Gagliano Castelferrato,86010,Enna,2021-05-26,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-62-26052021.pdf,62-26052021,Sì,Testo,6,,,62,2021-05-26,56.24,3460,,
Geraci Siculo,82037,Palermo,2021-05-28,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2063%20del%2027%20maggio%202021.pdf,64-27052021,No,Immagine,6,66-01062021,,64,2021-05-27,113.35,1765,,
Lercara Friddi,82045,Palermo,2021-05-28,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2063%20del%2027%20maggio%202021.pdf,64-27052021,No,Immagine,6,66-01062021,,64,2021-05-27,37.49,6626,,
San Cipirello,82063,Palermo,2021-05-26,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2063%20del%2027%20maggio%202021.pdf,64-27052021,Sì,Immagine,6,,,64,2021-05-27,20.85,5212,,
Vicari,82078,Palermo,2021-05-26,2021-06-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2063%20del%2027%20maggio%202021.pdf,64-27052021,Sì,Immagine,6,,,64,2021-05-27,85.95,2559,,
Santo Stefano Quisquina,84040,Agrigento,2021-06-02,2021-06-10,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2065%20del%2031%20maggio%202021.pdf,65-31052021,No,Immagine,6,,,65,2021-05-31,85.52,4337,,
Riesi,85015,Caltanissetta,2021-05-31,2021-05-31,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2065%20del%2031%20maggio%202021.pdf,65-31052021,Sì,Immagine,6,65-31052021,,65,2021-05-31,67,11110,,
Prizzi,82060,Palermo,2021-06-02,2021-06-10,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-66-01062021.pdf,66-01062021,No,Immagine,6,67-09062021,,66,2021-06-01,95.04,4508,,
Lercara Friddi,82045,Palermo,2021-06-01,2021-06-01,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-66-01062021.pdf,66-01062021,Sì,Immagine,6,,,66,2021-06-01,37.49,6626,,
Geraci Siculo,82037,Palermo,2021-06-01,2021-06-10,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-66-01062021.pdf,66-01062021,Sì,Immagine,6,,,66,2021-06-01,113.35,1765,,
Scordia,87049,Catania,2021-06-01,2021-06-10,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-66-01062021.pdf,66-01062021,Sì,Immagine,6,,,66,2021-06-01,24.31,16701,,
Aidone,86002,Enna,2021-06-11,2021-06-17,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2067del%209%20giugno%202021.pdf,67-09062021,No,Testo,6,70-17062021,,67,2021-06-09,210.78,4674,,
Francofonte,89010,Siracusa,2021-06-11,2021-06-17,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2067del%209%20giugno%202021.pdf,67-09062021,No,Testo,6,,,67,2021-06-09,74.2,12349,,
Valledolmo,82076,Palermo,2021-06-11,2021-06-17,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2067del%209%20giugno%202021.pdf,67-09062021,No,Testo,6,,,67,2021-06-09,25.78,3400,,
Prizzi,82060,Palermo,2021-06-11,2021-06-17,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2067del%209%20giugno%202021.pdf,67-09062021,Sì,Testo,6,,,67,2021-06-09,95.04,4508,,
Gratteri,82041,Palermo,2021-06-12,2021-06-17,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza68%20del%2010%20giugno%202021.pdf,68-10062021,No,Immagine,6,,,68,2021-06-10,38.17,905,,
Santa Caterina Villarmosa,85017,Caltanissetta,2021-06-15,2021-06-24,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2069%20del%2013%20giugno%202021(firmato).pdf,69-13062021,No,Testo,6,,,69,2021-06-13,75.81,5039,,
Troina,86018,Enna,2021-06-19,2021-06-24,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2070%20del%2017%20giugno%202021(firmato).pdf,70-17062021,No,Testo,6,,,70,2021-06-17,168.28,8952,,
Valguarnera Caropepe,86019,Enna,2021-06-19,2021-06-24,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2070%20del%2017%20giugno%202021(firmato).pdf,70-17062021,No,Testo,6,,,70,2021-06-17,9.41,7424,,
Aidone,86002,Enna,2021-06-17,2021-06-24,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2070%20del%2017%20giugno%202021(firmato).pdf,70-17062021,Sì,Testo,6,,,70,2021-06-17,210.78,4674,,
Santa Caterina Villarmosa,85017,Caltanissetta,2021-06-24,2021-07-01,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2072%20del%2024%20giugno%202021.pdf,72-24062021,Sì,Testo,6,73-30062021,,72,2021-06-24,75.81,5039,,
Valguarnera Caropepe,86019,Enna,2021-06-24,2021-07-01,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%2072%20del%2024%20giugno%202021.pdf,72-24062021,Sì,Testo,6,73-30062021,,72,2021-06-24,9.41,7424,,
Santa Caterina Villarmosa,85017,Caltanissetta,2021-06-24,2021-06-30,http://www.comune.alia.pa.it/images/ALLEGATI_ARTICOLI/Copia_DocPrincipale_Ordinanza_73_del_30_GIUGNO_2021firmato.pdf,73-30062021,Sì,Testo,6,,,73,2021-06-30,75.81,5039,,
Valguarnera Caropepe,86019,Enna,2021-06-24,2021-06-30,http://www.comune.alia.pa.it/images/ALLEGATI_ARTICOLI/Copia_DocPrincipale_Ordinanza_73_del_30_GIUGNO_2021firmato.pdf,73-30062021,Sì,Testo,6,,,73,2021-06-30,9.41,7424,,
Mazzarino,85009,Caltanissetta,2021-07-03,2021-07-14,https://www.regione.sicilia.it/sites/default/files/2021-07/ordinanza%20n.74.pdf,74-01072021,No,Immagine,6,77-14072021,,74,2021-07-01,295.59,11445,,
Piazza Armerina,86014,Enna,2021-07-14,2021-07-21,https://www.regione.sicilia.it/sites/default/files/2021-07/re340.pdf,76-12072021,No,Immagine,6,,,76,2021-07-12,304.54,21439,,
Riesi,85015,Caltanissetta,2021-07-16,2021-07-21,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%2077%20del%2014%20luglio%202021.pdf,77-14072021,No,Testo,6,,,77,2021-07-14,67,11110,,
Mazzarino,85009,Caltanissetta,2021-07-14,2021-07-21,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%2077%20del%2014%20luglio%202021.pdf,77-14072021,Sì,Testo,6,,,77,2021-07-14,295.59,11445,,
Gela,85007,Caltanissetta,2021-07-18,2021-07-23,https://www.regione.sicilia.it/sites/default/files/2021-07/re342.pdf,78-16072021,No,Immagine,6,81-23072021,,78,2021-07-16,279.22,74075,,
Caltabellotta,84007,Agrigento,2021-07-22,2021-07-29,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%2079%20del%2020%20luglio%202021_0.pdf,79-20072021,No,Testo,6,82-24072021,,79,2021-07-20,124.09,3420,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%20contigibile%20e%20urgente%20n.%2082%20del%2024%20luglio%202021.pdf,
Favara,84017,Agrigento,2021-07-22,2021-07-29,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%2079%20del%2020%20luglio%202021_0.pdf,79-20072021,No,Testo,6,82-24072021,,79,2021-07-20,83.62,31751,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%20contigibile%20e%20urgente%20n.%2082%20del%2024%20luglio%202021.pdf,
Mazzarino,85009,Caltanissetta,2021-07-21,2021-07-29,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%2080%28firmato%29.pdf,80-21072021,Sì,Testo,6,82-24072021,,80,2021-07-21,295.59,11445,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%20contigibile%20e%20urgente%20n.%2082%20del%2024%20luglio%202021.pdf,
Piazza Armerina,86014,Enna,2021-07-21,2021-07-29,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%2080%28firmato%29.pdf,80-21072021,Sì,Testo,6,81-23072021,,80,2021-07-21,304.54,21439,,
Riesi,85015,Caltanissetta,2021-07-21,2021-07-29,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%2080%28firmato%29.pdf,80-21072021,Sì,Testo,6,82-24072021,,80,2021-07-21,67,11110,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%20contigibile%20e%20urgente%20n.%2082%20del%2024%20luglio%202021.pdf,
Gela,85007,Caltanissetta,2021-07-23,2021-07-29,https://www.regione.sicilia.it/sites/default/files/2021-07/re346.pdf,81-23072021,Sì,Immagine,6,82-24072021,,81,2021-07-23,279.22,74075,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%20contigibile%20e%20urgente%20n.%2082%20del%2024%20luglio%202021.pdf,
Cammarata,84009,Agrigento,2021-07-23,2021-07-29,https://www.regione.sicilia.it/sites/default/files/2021-07/re346.pdf,81-23072021,No,Immagine,6,82-24072021,,81,2021-07-23,192.45,6048,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%20contigibile%20e%20urgente%20n.%2082%20del%2024%20luglio%202021.pdf,
San Giovanni Gemini,84036,Agrigento,2021-07-23,2021-07-29,https://www.regione.sicilia.it/sites/default/files/2021-07/re346.pdf,81-23072021,No,Immagine,6,82-24072021,,81,2021-07-23,26.56,7816,https://www.regione.sicilia.it/sites/default/files/2021-07/Ordinanza%20contigibile%20e%20urgente%20n.%2082%20del%2024%20luglio%202021.pdf,
Piazza Armerina,86014,Enna,2021-07-23,2021-07-23,https://www.regione.sicilia.it/sites/default/files/2021-07/re346.pdf,81-23072021,Sì,Immagine,6,,,81,2021-07-23,304.54,21439,,rossa
Barrafranca,86004,Enna,2021-08-24,2021-09-02,https://www.regione.sicilia.it/sites/default/files/2021-08/Ordinanza%2085%20con%20allegato%20A%28firmato%29.pdf,85-22082021,No,Testo,8,,,85,2021-08-22,53.71,12580,,arancione
Niscemi,85013,Caltanissetta,2021-08-24,2021-09-02,https://www.regione.sicilia.it/sites/default/files/2021-08/Ordinanza%2085%20con%20allegato%20A%28firmato%29.pdf,85-22082021,No,Testo,8,,,85,2021-08-22,96.82,26274,,arancione
Comiso,88003,Ragusa,2021-08-28,2021-09-06,https://www.regione.sicilia.it/sites/default/files/2021-08/Ordinanza%2086%20del%2026%20agosto%202021.pdf,86-26082021,No,Testo,6,89-06092021,,86,2021-08-26,65.4,31107,,arancione
Vittoria,88012,Ragusa,2021-08-28,2021-09-06,https://www.regione.sicilia.it/sites/default/files/2021-08/Ordinanza%2086%20del%2026%20agosto%202021.pdf,86-26082021,No,Testo,6,89-06092021,,86,2021-08-26,182.47,63740,,arancione
Barrafranca,86004,Enna,2021-09-03,2021-09-09,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,Sì,Testo,6,,,88,2021-09-02,53.71,12580,,arancione
Niscemi,85013,Caltanissetta,2021-09-03,2021-09-09,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,Sì,Testo,6,90-09092021,,88,2021-09-02,96.82,26274,,arancione
Augusta,89001,Siracusa,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,,,88,2021-09-02,111.16,35698,,arancione
Avola,89002,Siracusa,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,,,88,2021-09-02,74.59,31145,,arancione
Catenanuova,86006,Enna,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,,,88,2021-09-02,11.22,4636,,arancione
Ferla,89008,Siracusa,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,,,88,2021-09-02,24.9,2400,,arancione
Francofonte,89010,Siracusa,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,91-14092021,,88,2021-09-02,74.2,12349,,arancione
Noto,89013,Siracusa,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,,,88,2021-09-02,554.98,24154,,arancione
Pachino,89014,Siracusa,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,,,88,2021-09-02,50.98,22312,,arancione
Portopalo di Capo Passero,89020,Siracusa,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,,,88,2021-09-02,15.09,3867,,arancione
Rosolini,89016,Siracusa,2021-09-04,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2088%20del%2002%20settembre%202021.pdf,88-02092021,No,Testo,6,,,88,2021-09-02,76.47,21122,,arancione
Comiso,88003,Ragusa,2021-09-06,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2089%28firmato%29.pdf,89-06092021,Sì,Testo,6,,,89,2021-09-06,65.4,31107,,arancione
Santa Domenica Vittoria,83083,Messina,2021-09-06,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2089%28firmato%29.pdf,89-06092021,Sì,Testo,6,,,89,2021-09-06,20.16,894,,arancione
Niscemi,85013,Caltanissetta,2021-09-09,2021-09-14,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2090%20del%2009.09.2021.pdf,90-09092021,Sì,Testo,6,,,90,2021-09-09,96.82,26274,,arancione
Francofonte,89010,Siracusa,2021-09-14,2021-09-21,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2091%28firmato%29.pdf,91-14092021,Sì,Testo,6,92-21092021,,91,2021-09-14,74.2,12349,,arancione
Francofonte,89010,Siracusa,2021-09-21,2021-09-28,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2092%28firmato%29.pdf,92-21092021,Sì,Testo,6,93-28092021,,92,2021-09-21,74.2,12349,,arancione
Francofonte,89010,Siracusa,2021-09-28,2021-10-06,https://www.regione.sicilia.it/sites/default/files/2021-09/Ordinanza%2093%28firmato%29.pdf,93-28092021,Sì,Testo,6,94-06102021,,93,2021-09-28,74.2,12349,,arancione
Francofonte,89010,Siracusa,2021-10-06,2021-10-13,https://www.regione.sicilia.it/sites/default/files/2021-10/Ordinanza%2094%20del%2006%20ottobre%202021.pdf,94-06102021,Sì,Testo,6,,,94,2021-10-06,74.2,12349,,arancione
Mascalucia,87024,Catania,2021-10-10,2021-10-20,https://www.regione.sicilia.it/sites/default/files/2021-10/Ordinanza%2095.pdf,95-08102021,No,Immagine,6,,,95,2021-10-08,16.31,32042,,arancione
Castel di Iudica,87013,Catania,2021-10-31,2021-11-11,https://www.regione.sicilia.it/sites/default/files/2021-10/ordinanza%2096.pdf,96-29102021,No,Immagine,6,,,96,2021-10-29,103.21,4448,,arancione
Lercara Friddi,82045,Palermo,2021-10-31,2021-11-11,https://www.regione.sicilia.it/sites/default/files/2021-10/ordinanza%2096.pdf,96-29102021,No,Immagine,6,,,96,2021-10-29,37.49,6626,,arancione
Nicolosi,87031,Catania,2021-11-13,2021-11-24,https://www.regione.sicilia.it/sites/default/files/2021-11/Ordinanza%2097.pdf,97-11112021,No,Immagine,6,,,97,2021-11-11,42.65,7551,,arancione
